Sample,x,y
1,0,10.514465
1,1.38,8.921265
1,2.76,7.363998
1,4.14,5.815948
1,5.52,4.498947
1,6.9,3.571121
1,8.28,2.877502
1,9.66,2.273254
1,11.04,-3.458122
1,12.42,-9.318401
1,13.8,-15.986427
1,15.18,-25.007843
1,16.56,-32.544712
1,17.94,-38.501339
1,19.32,-42.237278
1,20.7,-47.592392
1,22.08,-47.45063
1,23.46,-47.259529
1,24.84,-47.001068
1,26.22,-46.653591
1,27.6,-46.231541
1,28.98,-45.780857
1,30.36,-45.375496
1,31.74,-45.057133
1,33.12,-44.794643
1,34.5,-44.541977
1,35.88,-44.260368
1,37.26,-43.935616
1,38.64,-43.568546
1,40.02,-43.166622
1,41.4,-42.731842
1,42.78,-42.272728
1,44.16,-41.828823
1,45.54,-41.480354
1,46.92,-41.309456
1,48.3,-41.369423
1,49.68,-41.684296
1,51.06,-42.217758
1,52.44,-42.846153
1,53.82,-40.494873
1,55.2,-39.089714
1,56.58,-38.365425
1,57.96,-34.856487
1,59.34,-31.275154
1,60.72,-28.363638
1,62.1,-25.766977
1,63.48,-22.326904
1,64.86,-22.197594
1,66.24,-22.582081
1,67.62,-23.518368
1,69,-24.881348
1,70.38,-26.506386
1,71.76,-28.291004
1,73.14,-30.284981
1,74.52,-32.47501
1,75.9,-34.448078
1,77.28,-35.767525
1,78.66,-36.538372
1,80.04,-37.050686
1,81.42,-37.445976
1,82.8,-37.854
1,84.18,-38.442345
1,85.56,-39.353149
1,86.94,-40.36631
1,88.32,-41.406231
1,89.7,-42.6978
1,91.08,-44.098312
1,92.46,-45.16613
1,93.84,-45.732399
1,95.22,-46.005676
1,96.6,-46.145947
1,97.98,-46.222046
1,99.36,-46.266262
1,100.74,-46.292877
1,102.12,-46.305977
1,103.5,-46.304665
1,104.88,-46.291481
1,106.26,-46.278091
1,107.64,-46.277344
1,109.02,-46.289207
1,110.4,-46.298798
1,111.78,-46.288857
1,113.16,-46.251053
1,114.54,-46.183685
1,115.92,-46.077057
1,117.3,-45.888206
1,118.68,-45.446159
1,120.06,-43.955719
1,121.44,-41.978394
1,122.82,-39.274529
1,124.2,-35.977142
1,125.58,-34.182682
1,126.96,-33.135818
1,128.34,-32.200054
1,129.72,-31.342651
1,131.1,-30.62851
1,132.48,-30.108231
1,133.86,-29.76173
1,135.24,-29.534416
1,136.62,-29.387157
1,138,-29.299412
1,139.38,-29.258671
1,140.76,-29.258629
1,142.14,-29.307396
1,143.52,-29.432217
1,144.9,-29.678135
1,146.28,-30.086243
1,147.66,-30.741932
1,149.04,-33.216499
1,150.42,-35.491154
